timestamp,elapsed_sec,module,tool,workload,raw_mrp_pair_count,raw_varname_pair_count,undirected_varname_pair_count,stored_pair_count,stored_varname_pair_count,execs,signals_lines,new_signal_rows,ssh_port,status,restarts
1779773631.485,30.5,f2fs,segfuzz-kccwf,segfuzz-corpus-fuzz,43,12,12,,,,54,54,42371,OK,0
1779773655.369,54.4,jfs,segfuzz-kccwf,segfuzz-corpus-fuzz,2,2,2,,,,3,3,49525,OK,0
1779773692.818,91.8,btrfs,segfuzz-kccwf,segfuzz-corpus-fuzz,0,0,0,,,,0,0,27497,COLLECTOR_FAIL,0
1779773715.856,114.9,xfs,segfuzz-kccwf,segfuzz-corpus-fuzz,3,3,3,,,,8,8,48231,OK,0
1779773722.675,121.7,bt-stack,segfuzz-kccwf,segfuzz-corpus-fuzz,0,0,0,,,,0,0,18486,COLLECTOR_FAIL,0
1779773747.179,146.2,floppy,segfuzz-kccwf,segfuzz-corpus-fuzz,10,10,10,,,,20,20,57129,OK,0
1779773772.508,171.5,ptmx,segfuzz-kccwf,segfuzz-corpus-fuzz,0,0,0,,,,1,1,28866,OK,0
1779773796.180,195.2,dsp,segfuzz-kccwf,segfuzz-corpus-fuzz,0,0,0,,,,1,1,19093,OK,0
1779773827.719,226.7,f2fs,segfuzz-kccwf,segfuzz-corpus-fuzz,308,204,196,,,,362,308,52894,OK,0
1779773828.941,228.0,jfs,segfuzz-kccwf,segfuzz-corpus-fuzz,142,106,98,,,,143,140,41166,OK,0
1779773830.565,229.6,btrfs,segfuzz-kccwf,segfuzz-corpus-fuzz,225,142,132,,,,226,226,6437,OK,0
1779773832.170,231.2,xfs,segfuzz-kccwf,segfuzz-corpus-fuzz,5,5,5,,,,11,3,48231,OK,0
1779773833.566,232.6,bt-stack,segfuzz-kccwf,segfuzz-corpus-fuzz,269,181,171,,,,270,270,18486,OK,0
1779773835.563,234.6,floppy,segfuzz-kccwf,segfuzz-corpus-fuzz,25,19,19,,,,196,176,57129,OK,0
1779773836.082,235.1,ptmx,segfuzz-kccwf,segfuzz-corpus-fuzz,0,0,0,,,,1,0,28866,NO_NEW,0
